Title,IMDB Rating,Year,Length,URL
1. Adult Children,10,2025,1h 40m,https://www.imdb.com/title/tt17424166/?ref_=sr_t_1
2. James Hyde - The Very Thought of You,10,2025,N/A,https://www.imdb.com/title/tt33760110/?ref_=sr_t_2
3. Varumai,10,2024,N/A,https://www.imdb.com/title/tt37956819/?ref_=sr_t_3
4. Pickleback,10,2025,N/A,https://www.imdb.com/title/tt26853818/?ref_=sr_t_4
5. Anemoia,10,2022,18m,https://www.imdb.com/title/tt15592762/?ref_=sr_t_5
6. Kirdaar,10,2019,1h 50m,https://www.imdb.com/title/tt4570742/?ref_=sr_t_6
7. Hua Se,10,2017,1h 38m,https://www.imdb.com/title/tt6964242/?ref_=sr_t_7
8. The Cage,10,2021,25m,https://www.imdb.com/title/tt12663862/?ref_=sr_t_8
9. The Hicks Happy Hour,10,2024,16m,https://www.imdb.com/title/tt34219099/?ref_=sr_t_9
10. Time Crush,10,2025,N/A,https://www.imdb.com/title/tt37831482/?ref_=sr_t_10
