Title,IMDB Rating,Year,Length,URL
1. Art of Invisible,10,2020,N/A,https://www.imdb.com/title/tt12307202/?ref_=sr_t_1
2. The Lady Masquerade,10,2009,N/A,https://www.imdb.com/title/tt1307062/?ref_=sr_t_2
3. Remnera,10,2025,3m,https://www.imdb.com/title/tt37955444/?ref_=sr_t_3
4. Executive Decision,10,2025,6m,https://www.imdb.com/title/tt35935944/?ref_=sr_t_4
5. Disturbed,10,2021,12m,https://www.imdb.com/title/tt15828822/?ref_=sr_t_5
6. Übermensch,10,2022,5m,https://www.imdb.com/title/tt28669927/?ref_=sr_t_6
7. Elveda Asker,10,2024,4m,https://www.imdb.com/title/tt32445573/?ref_=sr_t_7
8. 10K,10,2014,16m,https://www.imdb.com/title/tt3831220/?ref_=sr_t_8
9. Discern,10,2023,6m,https://www.imdb.com/title/tt28523993/?ref_=sr_t_9
10. Nico,10,2016,15m,https://www.imdb.com/title/tt5174360/?ref_=sr_t_10
